AGname type minEnergy maxEnergy nLines nSeqs
4YUE_C Mascotte -94.74 -89.98 70531 41434
4YUE_C Loosers -89.97 -85.96 342987 197996
4YUE_C NonBinders -89.97 -43.21 500000 450590
4ZFG_A SuperHeroes -115.84 -107.19 733 365
4ZFG_A Heroes -107.18 -102.9 7431 4532
4ZFG_A Mascotte -102.89 -98.38 76890 43321
4ZFG_A Loosers -98.37 -94.48 385586 208144
4ZFG_A NonBinders -98.37 -58 500000 450395
4ZFO_F SuperHeroes -92.31 -86.69 790 649
4ZFO_F Heroes -86.68 -83.94 7287 5515
4ZFO_F Mascotte -83.93 -80.57 79523 53945
4ZFO_F Loosers -80.56 -77.37 398659 265473
4ZFO_F NonBinders -80.56 -42.56 500000 450785
4ZSO_E SuperHeroes -116.26 -108.9 730 539
4ZSO_E Heroes -108.89 -105.9 6762 4231
4ZSO_E Mascotte -105.89 -101.34 70567 50039
4ZSO_E Loosers -101.33 -97.42 337174 208090
4ZSO_E NonBinders -101.33 -52.11 500000 448149
5B8C_C SuperHeroes -117.35 -109.75 835 456
5B8C_C Heroes -109.74 -105.21 8574 5296
5B8C_C Mascotte -105.2 -100.08 89707 55515
5B8C_C Loosers -100.07 -95.47 457104 278832
5B8C_C NonBinders -100.07 -53.43 500000 450428
5BVP_I SuperHeroes -119.76 -111.62 762 620
5BVP_I Heroes -111.61 -108.69 7059 4610
5BVP_I Mascotte -108.68 -104.06 79957 52397
5BVP_I Loosers -104.05 -99.49 405686 262395
5BVP_I NonBinders -104.05 -56.17 500000 450810
5C0N_A SuperHeroes -110.54 -104.01 745 601
5C0N_A Heroes -104 -100.88 6917 4696
5C0N_A Mascotte -100.87 -96.67 74135 47046
5C0N_A Loosers -96.66 -93.02 369521 220813
5C0N_A NonBinders -96.66 -53.15 500000 450905
5C7X_A SuperHeroes -122.7 -116.54 731 275
5C7X_A Heroes -116.53 -112.37 6850 3579
5C7X_A Mascotte -112.36 -107.4 73042 39599
5C7X_A Loosers -107.39 -102.94 345443 169042
5C7X_A NonBinders -107.39 -57.51 500000 448018
5CZV_A SuperHeroes -124.03 -114.75 702 620
5CZV_A Heroes -114.74 -110.55 6559 4202
5CZV_A Mascotte -110.54 -104.86 72922 47956
5CZV_A Loosers -104.85 -100.08 387386 240442
5CZV_A NonBinders -104.85 -59.3 500000 450487
5D93_A SuperHeroes -121.83 -114.43 754 500
5D93_A Heroes -114.42 -111.08 7106 3632
5D93_A Mascotte -111.07 -105.93 78918 48278
5D93_A Loosers -105.92 -101.55 405897 248770
5D93_A NonBinders -105.91 -61.03 500000 450754
5DFV_A SuperHeroes -103.63 -96.99 764 606
5DFV_A Heroes -96.98 -93.46 7837 5026
5DFV_A Mascotte -93.45 -88.85 85669 57392
5DFV_A Loosers -88.845 -84.95 399796 263535
5DFV_A NonBinders -88.84 -46.32 500000 450451
5DHV_M SuperHeroes -72.44 -68.41 786 469
5DHV_M Heroes -68.4 -66.06 8057 4864
5DHV_M Mascotte -66.05 -63.29 85286 47898
5DHV_M Loosers -63.28 -60.74 424548 229006
5DHV_M NonBinders -63.28 -37.85 500000 451114
5DMI_A SuperHeroes -103.94 -97.55 695 409
5DMI_A Heroes -97.54 -93.48 6291 3526
5DMI_A Mascotte -93.47 -87.93 64242 39752
5DMI_A Loosers -87.92 -83.65 306209 179797
5DMI_A NonBinders -87.92 -48.46 500000 451041
5DO2_B SuperHeroes -115.37 -105.96 746 536
5DO2_B Heroes -105.95 -101.89 7085 5051
5DO2_B Mascotte -101.88 -97.05 75461 49881
5DO2_B Loosers -97.04 -92.91 370720 216239
5DO2_B NonBinders -97.04 -54.48 500000 450536
5E8D_A SuperHeroes -92.97 -86.62 700 624
5E8D_A Heroes -86.61 -83.51 6383 5416
5E8D_A Mascotte -83.5 -79.39 66128 49093
5E8D_A Loosers -79.38 -75.59 371018 263340
5E8D_A NonBinders -79.38 -41.1 500000 450775
5E8E_LH SuperHeroes -127.95 -120.55 696 274
5E8E_LH Heroes -120.54 -114.12 6480 3913
5E8E_LH Mascotte -114.11 -108.02 74387 49919
5E8E_LH Loosers -108.01 -103.75 380137 243891
5E8E_LH NonBinders -108.01 -62.27 500000 450320
5E94_G SuperHeroes -110.91 -104.39 727 477
5E94_G Heroes -104.38 -100.59 6869 5518
5E94_G Mascotte -100.58 -96.31 76138 52010
5E94_G Loosers -96.3 -92.2 400990 259904
5E94_G NonBinders -96.3 -56.36 500000 450190
5EII_G SuperHeroes -104.15 -98.48 721 401
5EII_G Heroes -98.47 -95.28 6785 4079
5EII_G Mascotte -95.27 -91.11 76114 49424
5EII_G Loosers -91.1 -87.37 395642 265436
5EII_G NonBinders -91.1 -51.54 500000 450964
5EPM_C SuperHeroes -84.22 -77.93 734 423
5EPM_C Heroes -77.92 -74.93 7199 4564
5EPM_C Mascotte -74.92 -71.69 80875 50445
5EPM_C Loosers -71.685 -68.86 392573 240173
5EPM_C NonBinders -71.68 -39.61 500000 450826
5EU7_A SuperHeroes -120.22 -111.12 708 457
5EU7_A Heroes -111.11 -107 6525 4595
5EU7_A Mascotte -106.99 -102.4 68027 39446
5EU7_A Loosers -102.39 -98.04 324947 176927
5EU7_A NonBinders -102.39 -55.3 500000 450334
5EZO_A SuperHeroes -140.18 -129.33 735 508
5EZO_A Heroes -129.32 -124.65 6875 5264
5EZO_A Mascotte -124.64 -118.97 72994 51277
5EZO_A Loosers -118.96 -113.91 351473 215861
5EZO_A NonBinders -118.96 -66.71 500000 450036
5F3B_C SuperHeroes -106.32 -100.22 737 392
5F3B_C Heroes -100.21 -96.18 7370 4594
5F3B_C Mascotte -96.17 -91.67 79310 48303
5F3B_C Loosers -91.66 -87.87 386373 218752
5F3B_C NonBinders -91.66 -51.76 500000 447751
5FB8_C SuperHeroes -102.75 -96.02 867 598
5FB8_C Heroes -96.01 -92.62 8501 5402
5FB8_C Mascotte -92.61 -88.57 87876 55609
5FB8_C Loosers -88.56 -84.95 450506 274358
5FB8_C NonBinders -88.56 -50.03 500000 450842
5H35_C SuperHeroes -133.71 -124.77 730 572
5H35_C Heroes -124.76 -121.17 6548 4709
5H35_C Mascotte -121.16 -116.39 68164 43273
5H35_C Loosers -116.38 -112.22 320149 180728
5H35_C NonBinders -116.38 -70.65 500000 449726
5HDQ_A SuperHeroes -123 -117.49 903 162
5HDQ_A Heroes -117.48 -113.13 6439 1707
5HDQ_A Mascotte -113.12 -106.33 75136 32984
5HDQ_A Loosers -106.32 -100.7 396008 210670
5HDQ_A NonBinders -106.32 -58.21 500000 449438
5HI4_B SuperHeroes -112.4 -107.07 866 569
5HI4_B Heroes -107.06 -103.04 9054 5959
5HI4_B Mascotte -103.03 -97.85 92716 64824
5HI4_B Loosers -97.84 -93.51 446012 288439
5HI4_B NonBinders -97.84 -55.59 500000 450701
5IKC_M SuperHeroes -99.29 -93.04 709 381
5IKC_M Heroes -93.03 -89.69 6398 3516
5IKC_M Mascotte -89.68 -85.13 66066 38975
5IKC_M Loosers -85.12 -81.2 321753 183376
5IKC_M NonBinders -85.12 -44.81 500000 450405
5J13_A SuperHeroes -102.27 -95.7 800 621
5J13_A Heroes -95.69 -92.15 8608 5654
5J13_A Mascotte -92.14 -87.35 97937 64269
5J13_A Loosers -87.34 -83.35 483403 285367
5J13_A NonBinders -87.34 -49.82 500000 450129
5JW4_A SuperHeroes -135.55 -128.73 803 410
5JW4_A Heroes -128.72 -123.68 7451 4112
5JW4_A Mascotte -123.67 -117.49 82861 51373
5JW4_A Loosers -117.48 -112.63 402254 233840
5JW4_A NonBinders -117.48 -65.92 500000 451049
5JZ7_A SuperHeroes -114.59 -107.17 729 439
5JZ7_A Heroes -107.16 -104.17 6811 4125
5JZ7_A Mascotte -104.16 -100.46 73152 35726
5JZ7_A Loosers -100.45 -96.15 379732 218505
5JZ7_A NonBinders -100.45 -55.42 500000 450743
5KN5_C SuperHeroes -83.65 -78.11 716 499
5KN5_C Heroes -78.1 -75.38 6523 3983
5KN5_C Mascotte -75.37 -71.88 70155 42272
5KN5_C Loosers -71.87 -68.85 336816 177432
5KN5_C NonBinders -71.87 -34.76 500000 450332
5KTE_A SuperHeroes -150.27 -141.34 770 457
5KTE_A Heroes -141.33 -136.04 7930 5515
5KTE_A Mascotte -136.03 -130.18 85553 52960
5KTE_A Loosers -130.175 -125.05 400235 229994
5KTE_A NonBinders -130.17 -77.29 500000 450522
5L0Q_A SuperHeroes -116.84 -109.7 739 544
5L0Q_A Heroes -109.69 -106.38 6972 4534
5L0Q_A Mascotte -106.37 -101.66 73349 49153
5L0Q_A Loosers -101.65 -97.22 364179 234559
5L0Q_A NonBinders -101.65 -51.73 500000 450315
5LQB_A SuperHeroes -116.33 -108.85 766 664
5LQB_A Heroes -108.84 -104.67 6995 6096
5LQB_A Mascotte -104.66 -100.33 73054 51803
5LQB_A Loosers -100.32 -96.3 358969 228153
5LQB_A NonBinders -100.32 -56.92 500000 449319
5MES_A SuperHeroes -125.79 -117.6 731 236
5MES_A Heroes -117.58 -112.47 8094 3924
5MES_A Mascotte -112.46 -106.8 81596 47244
5MES_A Loosers -106.79 -102.1 418902 231529
5MES_A NonBinders -106.79 -60.63 500000 450512
5T5F_A SuperHeroes -125.54 -114.19 717 557
5T5F_A Heroes -114.18 -110.18 6697 4871
5T5F_A Mascotte -110.17 -105.02 75459 52673
5T5F_A Loosers -105.01 -100.43 386782 261147
5T5F_A NonBinders -105.01 -58.83 500000 450316
5TH9_A SuperHeroes -135.9 -127.41 713 379
5TH9_A Heroes -127.4 -124.06 6564 2395
5TH9_A Mascotte -124.05 -117.76 71795 39422
5TH9_A Loosers -117.75 -112.77 362027 200547
5TH9_A NonBinders -117.75 -65.96 500000 450702
5TLJ_X SuperHeroes -107.8 -99.14 794 432
5TLJ_X Heroes -99.13 -95.5 8093 4131
5TLJ_X Mascotte -95.49 -91.28 81197 46030
5TLJ_X Loosers -91.27 -87.18 432790 240687
5TLJ_X NonBinders -91.27 -47.06 500000 448556
5TZ2_C SuperHeroes -101.31 -96.89 727 362
5TZ2_C Heroes -96.88 -92.41 7827 4670
5TZ2_C Mascotte -92.4 -87.93 80825 44594
5TZ2_C Loosers -87.92 -83.63 403378 214149
5TZ2_C NonBinders -87.92 -41.59 500000 450015
